ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Month,DayOfWeek,Is_Rush_Hour,Risk_Level
A-915727,Source2,2,2021-09-01 10:59:30,2021-09-01 11:31:00,33.864059000000005,-118.046288,,,0.0,Accident on CA-91 Eastbound at Exit 20 / Carmenita Rd.,Carmenita Rd,Cerritos,Los Angeles,CA,90703,US,US/Pacific,KFUL,2021-09-01 10:53:00,74.0,74.0,62.0,29.77,10.0,VAR,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,9.0,2.0,0,Medium
A-760045,Source2,2,2021-12-30 08:38:35,2021-12-30 09:07:38,28.568695,-81.223915,,,0.0,Accident on FL-50 Colonial dr at Rouse Rd.,E Colonial Dr,Orlando,Orange,FL,32817-4533,US,US/Eastern,KORL,2021-12-30 08:53:00,68.0,68.0,96.0,30.0,0.25,SSW,6.0,0.0,Fog,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,8.0,12.0,3.0,1,Medium
A-4827196,Source1,2,,2022-04-18 16:03:45.000000000,34.001459999999994,-117.839596,34.000883,-117.844104,0.261,Incident on CA-60 WB near BREA CANYON RD Expect delays.,CA-60,Walnut,Los Angeles,CA,91789,US,US/Pacific,KPOC,2022-04-18 14:47:00,79.0,79.0,34.0,28.93,10.0,WSW,12.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,,,,0,Medium
A-7238277,Source1,2,2020-01-25 18:10:00,2020-01-25 18:45:00,38.629154,-121.215842,38.629154,-121.215842,0.0,At CR-E3/Hazel Ave - Accident.,Hazel Ave,Rancho Cordova,Sacramento,CA,95742,US,US/Pacific,KMHR,2020-01-25 17:45:00,54.0,54.0,94.0,29.98,3.0,SSE,5.0,0.0,Cloudy,False,False,True,False,False,False,True,False,False,False,False,False,False,Night,Night,Day,Day,18.0,1.0,5.0,1,Medium
A-1345359,Source2,2,2020-10-17 16:28:36,2020-10-17 21:39:24,37.386391,-122.264412,,,0.0,Lane blocked due to accident on CA-84 La Honda Rd Eastbound at CA-35 Skyline Blvd.,Skyline Blvd,Redwood City,San Mateo,CA,94062-5708,US,US/Pacific,KSQL,2020-10-17 16:55:00,82.0,82.0,54.0,29.88,10.0,N,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,16.0,10.0,5.0,1,Medium
A-3947538,Source1,2,2022-09-10 11:26:00,2022-09-10 13:42:34,33.46215606,-112.03534484,33.46247606,-112.04139484,0.349,Crash on the exit ramp on 202-LOOP Westbound near I-10 Eastbound (MP 1),I-10 HOV Ln,Phoenix,Maricopa,AZ,85006,US,US/Mountain,KPHX,2022-09-10 11:51:00,86.0,86.0,53.0,28.73,10.0,NW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11.0,9.0,5.0,0,Medium
A-7415045,Source1,2,2019-09-10 22:49:00,2019-09-11 02:02:09,41.123056,-122.325833,41.123056,-122.325833,0.0,At Sweetbrier Ave/Exit 723 - Accident.,I-5 N,Lakehead,Shasta,CA,96051,US,US/Pacific,KO86,2019-09-10 22:55:00,57.0,57.0,63.0,27.51,10.0,WNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22.0,9.0,1.0,0,Medium
A-7508843,Source1,3,2018-11-26 10:10:22,2018-11-26 10:39:45,39.24739,-76.68415999999998,39.25563,-76.67609,0.715,At I-695/Exit 49 - Accident. Two lanes blocked.,I-95 N,Halethorpe,Baltimore County,MD,21227,US,US/Eastern,KBWI,2018-11-26 09:54:00,48.9,,93.0,29.67,10.0,SE,6.9,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10.0,11.0,0.0,0,High
A-458419,Source2,3,2017-06-03 12:25:43,2017-06-03 13:10:13,34.018902000000004,-118.173264,,,0.0099999997764825,Right hand shoulder blocked due to accident on I-710 Northbound at Exits 18 19 Eastern Ave.,Long Beach Fwy N,Los Angeles,Los Angeles,CA,90022,US,US/Pacific,KCQT,2017-06-03 12:47:00,77.0,,58.0,29.87,6.0,Variable,3.5,0.0,Haze,False,False,False,False,True,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12.0,6.0,5.0,0,High
A-464801,Source2,2,2017-07-04 12:41:39,2017-07-04 13:40:17,33.079231,-116.603355,,,0.0,Accident on Farmer Rd at A St.,Main St,Julian,San Diego,CA,92036,US,US/Pacific,KRNM,2017-07-04 12:53:00,91.9,,32.0,29.95,10.0,WNW,10.4,0.0,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day,12.0,7.0,1.0,0,Medium
A-6838641,Source1,2,2020-09-19 11:09:30,2020-09-19 18:59:00,39.981814,-76.69289300000001,39.98203,-76.69484399999997,0.104,Queuing traffic on US-30 from Memory Ln (US-30) to N Sherman St (Arsenal Rd/US-30) due to accident.,Lincoln Hwy W,York,York,PA,17402,US,US/Eastern,KTHV,2020-09-19 10:53:00,56.0,56.0,34.0,29.86,10.0,ENE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11.0,9.0,5.0,0,Medium
